study,parameter,parameter_label,problem,n_var,run_idx,seed,pop_size,n_gen,stagnation_patience,initial_mean_F,initial_mean_CR,final_mean_F,final_mean_CR,mean_F_gen30,mean_CR_gen30,mean_F_gen50,mean_CR_gen50,IGD,HV,runtime_seconds,restart_count
pop_size,pop_size,50,zdt2,30,4,46,50,200,20,0.65,0.5,0.6033102261339209,0.5435684144145708,0.7750023030757468,0.5261722928058095,0.8118843634639503,0.5388854412289712,0.009251598906983896,0.5321057702562149,0.6194799999998395,3
pop_size,pop_size,50,zdt2,30,5,47,50,200,20,0.65,0.5,0.571334523039223,0.5163974036816178,0.5161553339738234,0.5315456873541509,0.6276568758647678,0.5460675065472748,0.0120553229422309,0.528439959389416,0.6263260000000628,3
pop_size,pop_size,50,zdt2,30,6,48,50,200,20,0.65,0.5,0.5481004545449573,0.5121198675554681,0.7054629075139671,0.48428651412980317,0.8414534677368357,0.48312916627578506,0.010557107899305987,0.5300032221968944,0.671194199999718,6
pop_size,pop_size,50,zdt2,30,7,49,50,200,20,0.65,0.5,0.5426375312867693,0.5068214159968489,0.6619361589770015,0.525096847814218,0.6407648138213282,0.49042714663380715,0.014212923687541224,0.5231567167298431,0.7174089999998614,4
pop_size,pop_size,50,zdt2,30,8,50,50,200,20,0.65,0.5,0.5836679512722147,0.5165139016826733,0.8150364796854881,0.5365223472523777,0.846978763905698,0.5477006616085062,0.0106631358379735,0.5311963280753284,0.6452371999998832,7
pop_size,pop_size,50,zdt2,30,9,51,50,200,20,0.65,0.5,0.5944304617480579,0.5193032622379465,0.7554033060587166,0.5035107030361728,0.8103833587557461,0.49979455735445144,0.009411339670286413,0.5322076767396173,0.6553353999997853,4
pop_size,pop_size,50,zdt2,30,10,52,50,200,20,0.65,0.5,0.5353817670353571,0.5177311811239097,0.806763920359061,0.5308719545967022,0.8231137473345511,0.5488056952987829,0.01883926079015915,0.520180482490748,0.644050999999763,6
pop_size,pop_size,50,zdt2,30,11,53,50,200,20,0.65,0.5,0.6378225598201163,0.5198386590263323,0.6755619818250876,0.5157633986917394,0.7723007759598708,0.5287428897982491,0.008956036779798693,0.5321882547557962,0.6366659000000254,5
pop_size,pop_size,50,zdt2,30,12,54,50,200,20,0.65,0.5,0.564662227627503,0.5241239425494179,0.7586314720454057,0.47093739039638566,0.8145495855979076,0.47006467958193665,0.010105706057129309,0.5313408560795062,0.6547952000000805,6
pop_size,pop_size,50,zdt2,30,13,55,50,200,20,0.65,0.5,0.6208708192778105,0.5159236746662068,0.5855070958870149,0.5403347828413997,0.6877503904487857,0.5371183530956162,0.009011706582217737,0.5325041026786502,0.6418461000002935,5
pop_size,pop_size,50,zdt2,30,14,56,50,200,20,0.65,0.5,0.5719440450902942,0.5117215872680526,0.7698304153398151,0.5090192844586832,0.7891544875452997,0.5048492751832432,0.009068490703570771,0.5317560789028676,0.6193336000001182,5
pop_size,pop_size,50,zdt2,30,15,57,50,200,20,0.65,0.5,0.592559305973612,0.5200615671035114,0.7422279277784851,0.4965160796086353,0.7757049186127736,0.47952788247656264,0.008779428340961171,0.5321662373726882,0.6261540999998942,5
pop_size,pop_size,50,zdt2,30,16,58,50,200,20,0.65,0.5,0.5598804773678743,0.49429991890923264,0.8066408719124145,0.5241154526851368,0.8728733279980608,0.546892708627022,0.010262131100090267,0.5309147982628561,0.6654278999999406,3
pop_size,pop_size,50,zdt2,30,17,59,50,200,20,0.65,0.5,0.5457633284326686,0.5098324867768305,0.6849367342991375,0.509912285696308,0.7360681456003537,0.5096169512589739,0.014449752115049216,0.5268344490716568,0.6268534000000727,4
pop_size,pop_size,50,zdt2,30,18,60,50,200,20,0.65,0.5,0.5980258614112886,0.520045284065795,0.7566734262267802,0.5118505547425541,0.7922677679629775,0.531337612971189,0.008400163031794037,0.5328482005413534,0.6933563999996295,6
pop_size,pop_size,50,zdt2,30,19,61,50,200,20,0.65,0.5,0.48109587289906347,0.5125924097655185,0.7306012087813727,0.5030470019440065,0.7264402205885407,0.5182117798887027,0.03450744541676658,0.5085618039744463,0.665090599999985,6
pop_size,pop_size,50,zdt2,30,20,62,50,200,20,0.65,0.5,0.5365323806865918,0.5030364796995942,0.7932007798852172,0.4953023566443015,0.8103311574056211,0.5179352538817277,0.012001600016524663,0.5251861943939666,0.6477915000000394,7
pop_size,pop_size,50,zdt2,30,21,63,50,200,20,0.65,0.5,0.6132730390630343,0.5067863183233935,0.7886158211101716,0.5635139715969708,0.7636725758387598,0.6161699860880138,0.009219033455983012,0.5322185099314759,0.7117938999999751,4
pop_size,pop_size,50,zdt2,30,22,64,50,200,20,0.65,0.5,0.6045986409875272,0.5177841781401299,0.7015616141036612,0.5304061366356417,0.7624759793059637,0.552285734259001,0.009703938527270736,0.5313982528786118,0.7000174999998308,4
pop_size,pop_size,50,zdt2,30,23,65,50,200,20,0.65,0.5,0.5924099439650827,0.5046189995250325,0.5721882009930603,0.5197329712041048,0.5854751680024917,0.5017756865665435,0.011863893386440318,0.5272560128531117,0.6615029999998114,1
pop_size,pop_size,50,zdt2,30,24,66,50,200,20,0.65,0.5,0.6349192804016852,0.5381000978754762,0.7748652304663732,0.5114817332885342,0.8658475399172718,0.521864312638604,0.009575548199915617,0.532275619625482,0.6828915999999481,5
pop_size,pop_size,50,zdt2,30,25,67,50,200,20,0.65,0.5,0.575422477299697,0.5170772699426405,0.6786689865358086,0.5281706987315661,0.7856044612291178,0.5235305080443213,0.008939327988263296,0.531968847911456,0.6238892999999734,5
pop_size,pop_size,50,zdt2,30,26,68,50,200,20,0.65,0.5,0.5655586688141863,0.5260487794918971,0.626631403247381,0.5806911168944514,0.6523566206266213,0.621646351437359,0.009119756736331218,0.5325249050678621,0.6759443000000829,5
pop_size,pop_size,50,zdt2,30,27,69,50,200,20,0.65,0.5,0.5361988543007928,0.5029169102851927,0.5320309462017013,0.5444889555757382,0.5132855249034531,0.5778032748771449,0.013882636933985393,0.5263096277822026,0.7225065999996332,4
pop_size,pop_size,50,zdt2,30,28,70,50,200,20,0.65,0.5,0.5714124088077344,0.5093723936670373,0.7380876360421522,0.5391703392353873,0.8655175746198599,0.5561287842638521,0.011467875159664541,0.5288534005902884,0.6636626999998043,5
pop_size,pop_size,50,zdt2,30,29,71,50,200,20,0.65,0.5,0.5206330202543942,0.521510180844176,0.6500775335930833,0.5482375615328952,0.7226260725392557,0.5902676691679885,0.01704832808079167,0.5208293596108579,0.6520719999998619,5
pop_size,pop_size,50,zdt3,30,0,42,50,200,20,0.65,0.5,0.5277978005357276,0.5050430460497224,0.720944164362311,0.5463580742470343,0.7454140768448173,0.6026416107107173,0.02099191590775665,1.0411368957836804,0.6348386999998183,5
pop_size,pop_size,50,zdt3,30,1,43,50,200,20,0.65,0.5,0.6063779900602109,0.5374871235786152,0.7446829547380495,0.5053754406811756,0.7678512000752692,0.5066708707456744,0.011330255462720215,1.047186529881397,0.6442968999999721,6
pop_size,pop_size,50,zdt3,30,2,44,50,200,20,0.65,0.5,0.5376565181833658,0.4969360273258985,0.7284180737953121,0.5885861424785752,0.7716238920231906,0.5922264645558043,0.020440122528117836,1.0422060602963132,0.6005792999999358,7
pop_size,pop_size,50,zdt3,30,3,45,50,200,20,0.65,0.5,0.5133014952220659,0.5032099393631119,0.7683312216967727,0.5078655632271947,0.7787616242655582,0.5519708870462992,0.019637615925868615,1.0417742587059642,0.5968643000001066,7
pop_size,pop_size,50,zdt3,30,4,46,50,200,20,0.65,0.5,0.5674082664544504,0.5218761854352876,0.7035228691723435,0.5703977083243996,0.7854943586697054,0.5950012203600488,0.014487307578144426,1.0461570229899626,0.5920018000001619,5
pop_size,pop_size,50,zdt3,30,5,47,50,200,20,0.65,0.5,0.6047234236367725,0.5405633277960131,0.6799001936015062,0.517233598480576,0.7345279786040094,0.5110128737536997,0.011028910074155778,1.0477208592173541,0.5976683000003504,5
pop_size,pop_size,50,zdt3,30,6,48,50,200,20,0.65,0.5,0.5811452298285279,0.5133057740479897,0.7985315675534362,0.48602585027877326,0.7852440758148522,0.4856807976201844,0.010430461736767727,1.0477418248178842,0.5905981999999312,6
pop_size,pop_size,50,zdt3,30,7,49,50,200,20,0.65,0.5,0.6269319623463544,0.4775905736780611,0.695054686134003,0.5275074051599379,0.7682799449267224,0.5444172432976874,0.011516112791451975,1.047128257962312,0.6031888000002255,6
pop_size,pop_size,50,zdt3,30,8,50,50,200,20,0.65,0.5,0.5,0.5,0.7405015612989261,0.49694108450967,0.8034341288008799,0.4949422392548458,0.040491813288791194,1.025148734028258,0.6134999999999309,6
pop_size,pop_size,50,zdt3,30,9,51,50,200,20,0.65,0.5,0.6053676563920216,0.4892821370730258,0.7636509627802698,0.545191919598155,0.7675114152187463,0.5629301540091511,0.01028482949247212,1.0483336309387756,0.620800700000018,5
pop_size,pop_size,50,zdt3,30,10,52,50,200,20,0.65,0.5,0.6312319118034064,0.49946797050966096,0.7183805871233067,0.5028650147405008,0.7511685334753722,0.5205659042274164,0.0160301572453333,1.0459849116985727,0.6475062999998045,6
pop_size,pop_size,50,zdt3,30,11,53,50,200,20,0.65,0.5,0.5566869688241557,0.5036319243188038,0.7106728673383426,0.4679070305425189,0.7603291478484553,0.4614050722480109,0.01088249409075575,1.0474396665835157,0.6327938000003996,6
pop_size,pop_size,50,zdt3,30,12,54,50,200,20,0.65,0.5,0.5663467169525633,0.5375216911693479,0.6725904692017078,0.550347546685882,0.7439359690862646,0.5552443837376837,0.011159708813285403,1.0464888507200416,0.7234867000001941,6
pop_size,pop_size,50,zdt3,30,13,55,50,200,20,0.65,0.5,0.519786744179367,0.5327934514116324,0.754295099971134,0.5347568474772734,0.7869623714225962,0.5227873067508526,0.013462468428665775,1.0468610365726214,0.8215621999997893,5
pop_size,pop_size,50,zdt3,30,14,56,50,200,20,0.65,0.5,0.5113306891994734,0.5131398186062794,0.7342549562446943,0.531731579884999,0.7900139472232981,0.5268721178643159,0.013604800825398276,1.0459352286566774,0.7909087000002728,6
pop_size,pop_size,50,zdt3,30,15,57,50,200,20,0.65,0.5,0.55,0.49025619453257085,0.7471541193361383,0.5241789544407149,0.7730219818797752,0.536096955830131,0.042133442755356444,1.0192968296790004,0.736233799999809,6
pop_size,pop_size,50,zdt3,30,16,58,50,200,20,0.65,0.5,0.6281577835245457,0.518989291821563,0.789546394334157,0.5288209126497915,0.8056835347825253,0.5407932375432838,0.011757689584866924,1.047587858382993,0.7037903999998889,5
