study,parameter,parameter_label,problem,n_var,runs,IGD_mean,IGD_std,IGD_best,HV_mean,HV_std,HV_best,runtime_mean,restart_count_mean,final_mean_F_mean,final_mean_CR_mean
stagnation_patience,stagnation_patience,15,zdt1,30,30,0.00653952737546774,0.0037259641035246507,0.004077696493562398,0.8682742044232898,0.004650423382414503,0.8711807380434764,1.6627752866667227,10.0,0.5692901990257853,0.5152437672903476
stagnation_patience,stagnation_patience,15,zdt2,30,30,0.007635666598520858,0.00476190605461639,0.004433812846925979,0.5338618654616887,0.006389782544236488,0.5379748890651144,1.5933118300000388,7.966666666666667,0.566441773846053,0.5123921475150426
stagnation_patience,stagnation_patience,15,zdt3,30,30,0.007414473462248413,0.003271360905339708,0.0046685972109382695,1.0498785161624804,0.0020794361058658947,1.051381706085837,1.6061952300000788,9.066666666666666,0.5663453559626609,0.512454236994364
stagnation_patience,stagnation_patience,15,zdt4,10,30,0.006681986614182825,0.0027073964807930394,0.004415315739785111,0.8656382596721774,0.004233917109715605,0.8697751245720045,1.7409813733333672,0.5333333333333333,0.7244144522423519,0.4378887192403378
stagnation_patience,stagnation_patience,15,zdt6,10,30,0.005729632945292736,0.0033531051351287835,0.0033382632003041853,0.43605195588530127,0.00377791964077223,0.43840711526669657,1.539181636666702,5.733333333333333,0.5659982661146172,0.5069656658233158
stagnation_patience,stagnation_patience,20,zdt1,30,30,0.007261160497506098,0.0044201689562491315,0.004063427900201707,0.8674641835712291,0.005503611999769872,0.8712198650177716,1.5756999499999742,7.4,0.5774841571887208,0.519317293290502
stagnation_patience,stagnation_patience,20,zdt2,30,30,0.005925596810247178,0.0022223007972320685,0.004405159607311568,0.5359536281731964,0.002752361755967391,0.5380386354816774,1.602619133333398,5.866666666666666,0.5795918754083647,0.5174368371104613
stagnation_patience,stagnation_patience,20,zdt3,30,30,0.008418884760640934,0.004601898961119075,0.004807902511739935,1.0490987069386604,0.003226190387518036,1.0513889475013258,1.588040396666717,6.7,0.5582314110913148,0.5133447263377209
stagnation_patience,stagnation_patience,20,zdt4,10,30,0.00608870844604999,0.0017195167153519618,0.004107902620355947,0.866450934326419,0.0030877562262734658,0.8700494306603643,1.7010661433334462,0.3,0.756659379393692,0.4295200563312282
stagnation_patience,stagnation_patience,20,zdt6,10,30,0.005688634568602888,0.004016719115276104,0.00341611844400423,0.43615344485629776,0.004349806621976471,0.4387617905051099,1.5413122466667726,3.6666666666666665,0.5983144251073147,0.5082529532586075
stagnation_patience,stagnation_patience,25,zdt1,30,30,0.006516709091882364,0.0031878825215215355,0.004193807302822481,0.8684363565704769,0.003973861074946653,0.871043911903454,1.559077389999978,5.966666666666667,0.5757056678806346,0.5155783800859467
stagnation_patience,stagnation_patience,25,zdt2,30,30,0.005947732104892011,0.0031080272378762827,0.004301652790970541,0.535563933091003,0.004484373373958283,0.5380377344749513,1.5787893566667057,4.633333333333334,0.586610833634285,0.5196066848220356
stagnation_patience,stagnation_patience,25,zdt3,30,30,0.007684733751076102,0.004553532121281476,0.004502234669385534,1.0496695649255785,0.002803022409624534,1.0512856782300661,1.5447327833334081,5.166666666666667,0.5987693419787913,0.5203641850817894
stagnation_patience,stagnation_patience,25,zdt4,10,30,0.0063164509795387855,0.0018846426096522523,0.004215714074428355,0.8661917139658295,0.0032230535488046723,0.8702098807017784,1.766161923333281,0.23333333333333334,0.7615396602783725,0.42454453039403556
stagnation_patience,stagnation_patience,25,zdt6,10,30,0.005334632173327498,0.0033152065193158284,0.003470185241238854,0.4365367300658206,0.0038161110025823103,0.43876506152306327,1.5547743899999962,2.6,0.6105459288642258,0.5102355682358286
stagnation_patience,stagnation_patience,30,zdt1,30,30,0.00629672741834435,0.003484210397778774,0.004025474171722564,0.8685517195647384,0.00428318164783847,0.8710889267921194,1.60155445666666,4.966666666666667,0.5754077338801001,0.5149834027253773
stagnation_patience,stagnation_patience,30,zdt2,30,30,0.006088950812210233,0.0033031007316487076,0.00413515806539584,0.5357075911706191,0.004324575027554776,0.538203213056545,1.5800158233333301,3.7333333333333334,0.6121629883818805,0.5277075465208748
stagnation_patience,stagnation_patience,30,zdt3,30,30,0.006540629975056727,0.003469088893855898,0.004043047908777122,1.0502745009376397,0.0024741553815418585,1.0514517872132196,1.5071181966667608,4.133333333333334,0.6039044065378433,0.5274802507922937
stagnation_patience,stagnation_patience,30,zdt4,10,30,0.0063483102945546925,0.0018715836619165969,0.004250771643071117,0.8661382113949934,0.003174487302819409,0.8702098807017784,1.7648299566666537,0.13333333333333333,0.7756489116010276,0.42034650976314414
stagnation_patience,stagnation_patience,30,zdt6,10,30,0.004580445702969274,0.001590475238199412,0.003379933439325239,0.43742868631412596,0.0016828037101399556,0.4389458244725534,1.5139589533333795,2.066666666666667,0.6216016991371988,0.5167690671702503
stagnation_patience,stagnation_patience,40,zdt1,30,30,0.0064155491075527675,0.003988269868176874,0.0039468567565853555,0.868224665763696,0.005267774443204221,0.8713263772076052,1.6063632766667069,3.4,0.6316522090986741,0.5313208810297295
stagnation_patience,stagnation_patience,40,zdt2,30,30,0.005319488951576281,0.0021581873405930943,0.004084759791708286,0.5367711685927138,0.0029837734182818097,0.538085137197762,1.4860554466666447,2.6,0.6476772484870611,0.5370847762025377
stagnation_patience,stagnation_patience,40,zdt3,30,30,0.006474569451125717,0.003860325781603917,0.004724232397356727,1.05022621463302,0.0031834419986127758,1.0514762576612195,1.504953150000074,2.966666666666667,0.6323837324194878,0.5325439950352744
stagnation_patience,stagnation_patience,40,zdt4,10,30,0.006053983648213231,0.0016529979248073527,0.004444414846972785,0.8665399474784642,0.0031282634328311425,0.8703133386182591,1.7481548999999783,0.03333333333333333,0.7940875676513518,0.4131033943982085
stagnation_patience,stagnation_patience,40,zdt6,10,30,0.0046671894683117466,0.0032920294329212545,0.0034877733400671936,0.4372769884237189,0.003453229517300369,0.43862927702939736,1.4700593866666773,1.2,0.6921372866990947,0.5315147373186281
f_cr_init,f_cr_init,fixed_baseline,zdt1,30,30,0.007261160497506098,0.0044201689562491315,0.004063427900201707,0.8674641835712291,0.005503611999769872,0.8712198650177716,1.5019010300000142,7.4,0.5774841571887208,0.519317293290502
f_cr_init,f_cr_init,fixed_baseline,zdt2,30,30,0.005925596810247178,0.0022223007972320685,0.004405159607311568,0.5359536281731964,0.002752361755967391,0.5380386354816774,1.5571895500000816,5.866666666666666,0.5795918754083647,0.5174368371104613
f_cr_init,f_cr_init,fixed_baseline,zdt3,30,30,0.008418884760640934,0.004601898961119075,0.004807902511739935,1.0490987069386604,0.003226190387518036,1.0513889475013258,1.5418527333333563,6.7,0.5582314110913148,0.5133447263377209
f_cr_init,f_cr_init,fixed_baseline,zdt4,10,30,0.00608870844604999,0.0017195167153519618,0.004107902620355947,0.866450934326419,0.0030877562262734658,0.8700494306603643,1.709480620000007,0.3,0.756659379393692,0.4295200563312282
f_cr_init,f_cr_init,fixed_baseline,zdt6,10,30,0.005688634568602888,0.004016719115276104,0.00341611844400423,0.43615344485629776,0.004349806621976471,0.4387617905051099,1.5567454466666883,3.6666666666666665,0.5983144251073147,0.5082529532586075
f_cr_init,f_cr_init,low_init,zdt1,30,30,0.007586488878572339,0.004472907135675319,0.004188745984456124,0.8669084090230914,0.005920086978710811,0.8712306557982813,1.5547768100001123,6.0,0.5789335713042728,0.5162411818758694
f_cr_init,f_cr_init,low_init,zdt2,30,30,0.008412058830810327,0.005661188907673658,0.00415602124268542,0.5327949032856933,0.007302898856569861,0.5379167689628201,1.6159820700001244,4.133333333333334,0.5678194381798124,0.5140921735696086
f_cr_init,f_cr_init,low_init,zdt3,30,30,0.008782618035457802,0.0051666087958029345,0.004997014008263246,1.04885346762885,0.003907029633923055,1.0514748407448224,1.5719228599999344,5.133333333333334,0.5628773620796867,0.5146868273559353
f_cr_init,f_cr_init,low_init,zdt4,10,30,0.019050101713653803,0.037680962623033096,0.004396097803583359,0.8467457742449785,0.05857918838142975,0.8702503276661833,1.71902314333344,0.36666666666666664,0.7495913093897101,0.2811550460287734
f_cr_init,f_cr_init,low_init,zdt6,10,30,0.005714692137060093,0.003821861639218775,0.0032455161078353708,0.4360554836309902,0.0040758744909931265,0.43865611004601796,1.5517321133333402,2.1333333333333333,0.6290468980516172,0.498537379544673
f_cr_init,f_cr_init,high_init,zdt1,30,30,0.006773042765518256,0.0035436137948891143,0.0040865790367303045,0.8679190564699569,0.004823894365491531,0.8713632551261238,1.5559400833334318,7.666666666666667,0.5785429909055323,0.5132008792150743
f_cr_init,f_cr_init,high_init,zdt2,30,30,0.007625368807484978,0.006476636280495452,0.004180557105227444,0.5338691325667776,0.008001460518694298,0.5379483440930479,1.6139740900000712,6.8,0.5815866742947631,0.5145652809820886
f_cr_init,f_cr_init,high_init,zdt3,30,30,0.008019422485465591,0.0049777014938977415,0.004539922801979592,1.0493917394844199,0.0036778573409142427,1.0514138041466183,1.606918603333361,7.0,0.579076977146105,0.517235988132873
f_cr_init,f_cr_init,high_init,zdt4,10,30,0.07115033733754943,0.1861341595742946,0.004711637703864102,0.7824875394580331,0.19716738208409598,0.8695958479372183,1.7820740600000136,0.03333333333333333,0.7832119899971318,0.7064636851528564
f_cr_init,f_cr_init,high_init,zdt6,10,30,0.00537744959497827,0.002708696691343912,0.0032038832148696683,0.43668183207003364,0.002878624534254006,0.43937763505467353,1.5740018366666542,7.266666666666667,0.5804240218240445,0.5069736196180974
f_cr_init,f_cr_init,random_uniform,zdt1,30,30,0.006370175860340806,0.003530775603835276,0.004023354216441972,0.8684986891738783,0.004865078088977703,0.8712560762171446,1.5331261466666244,7.3,0.5883115104522328,0.5191010656815405
f_cr_init,f_cr_init,random_uniform,zdt2,30,30,0.00676089720853067,0.004463108927683381,0.004157042821586284,0.5348516189722733,0.005629242763815778,0.5379188784569445,1.5315031866666686,6.333333333333333,0.5698302326056517,0.5141266057258045
f_cr_init,f_cr_init,random_uniform,zdt3,30,30,0.0068616527160029195,0.0026724922133489594,0.0046624015474836435,1.05019890723456,0.0019017284941521663,1.0514080371416732,1.4993490766666886,6.433333333333334,0.5702807619649983,0.5175983256657097
f_cr_init,f_cr_init,random_uniform,zdt4,10,30,0.021162947577033422,0.058373646625181366,0.0041726332112424795,0.8433725311317349,0.08933130702902355,0.870316130029378,1.6703452899999622,0.1,0.7592809167173528,0.5181091975601844
f_cr_init,f_cr_init,random_uniform,zdt6,10,30,0.005331776040246689,0.0039384443957091765,0.0034781896487326093,0.43655858993786095,0.004463757536751806,0.43877097539837906,1.464746960000078,4.5,0.607277920018776,0.5097457217363419
